title,price,description,date,location
My vivo y83 pro 4/64,"₹ 3,200",Urgent need of money,2023-10-14T10:38:24+0000,"Yasinganj, Lucknow, Uttar Pradesh, India"
One plus 8,"₹ 26,000",One plus 8 with clean condition..8gb with 128 storage,2023-10-14T10:38:24+0000,"Fort Area, Sangli (-Miraj), Maharashtra, India"
Nothing phone (1) 8/256 White - 2 Months old for Sale,"₹ 26,500","Nothing phone (1) - 8/256 GB - White -One and Half month old Neatly used -8 Gb RAM & 256 GB storage -Nothing os 2.0 - wireless/ reverse wireless charge feature  -Android 13  - Bill , Box available - complenentary - one silicon Back case & One matt finish back case , Nothing45  Adaptor worth 1.9k   Text me for more information  - Not interested in exchange",2023-10-13T07:02:20+0000,"Gachibowli, Hyderabad, Telangana, India"
Out Of Warranty Period Blue Color Apple iPhone 14,"₹ 47,999",Apple iPhone 14  128gb Storage Capacity  Good Condition ( Dent On Side )  Blue Color  Warranty Out  92% Battery Health  Indian Unit With Box and Cable All Working Perfectly Fine  Original Images Uploaded Only Serious Buyers Contact  782 -- 7838 -- 440 Store Location - Kamla Nagar Delhi 110007,2023-10-01T14:46:06+0000,"Roop Nagar, Delhi, Delhi, India"
60 Days Old Apple iphone 14 Pro Max 1TB indian at just 129900,"₹ 1,29,900",Brand New Condition   Apple iPhone 14 Pro Max   1TB 1TB 1TB  Indian Purchase  Warranty Till 12th July 2024  100% Battery Health   Instant Cash for ur used Gadgets  Please click on SEE PROFILE to check other devices Exchange Available  Credit card accepted  PAVIT ENTERPRISES  17 MG ROAD OPP NIKE SHOWROOM NEAR KARACHI SWEETS AND WOODLAND STORE CAMP PUNE 411001,2023-10-03T15:34:22+0000,"MG Road, Pune, Maharashtra, India"
Iphone 8 256gb,"₹ 13,000",Iphone 8 256gb,2023-10-14T10:38:23+0000,"Akbar Nagar, Bhagalpur, Bihar, India"
Infinix hot 10,"₹ 5,600",Good conditon as a new,2023-10-14T10:38:23+0000,"Bab Farid Nagar, Bathinda, Punjab, India"
Samsung S10 Plus,"₹ 18,000",8/128 1 year old  Indisplay fingerprint  Cable phone and aadhar  Kya kitne ka mil raha h kon kitne me de raha h mujhe isse mtlb nhi mujhe 17000 me sell krna h,2023-09-30T17:54:00+0000,"Lanka, Varanasi, Uttar Pradesh, India"
Samsung S22 Ultra (12/256),"₹ 58,500",Samsung S22 Ultra  12/256  Full Box •15 Days Shop Checking Warranty For all Smartphones  •Perfect condition •Exchange Accepted •Emi Option Available  •Debit & Credit Card Emi Available •Home Delivery availabe •All India Courier Service Available •For More :-9️⃣4️⃣9️⃣5️⃣7️⃣4️⃣7️⃣7️⃣7️⃣9️⃣ Location; Pattom (Near Thalapakatty Restaurant)                            *•VFONEZ•*,2023-09-30T10:31:54+0000,"Pattom, Thiruvananthapuram, Kerala, India"
RENO 8 PRO 5G 12GB/256,"₹ 25,000",Good Condition . Bill available . 1 year usage mobile ..,2023-10-08T11:20:00+0000,"Pallipalaiyam Agraharam, Pallipalayam, Tamil Nadu, India"
